avgHR,calories,duration,steps,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
150.0,710,63.5,9563.0,10.68,10.46,344.18,p07,49.91,2020-03-16,26,177,male,180,67,No,8.07,98.0
114.0,89,11.28,1264.0,1.37,7.32,491.98,p07,64.98,2020-03-17,26,177,male,180,67,No,7.78,95.0
130.0,223,23.08,3641.0,4.06,10.57,340.55,p07,64.64,2020-03-18,26,177,male,180,67,No,7.48,95.0
171.0,551,41.35,6715.0,7.61,11.05,325.77,p07,33.46,2020-03-20,26,177,male,180,67,No,7.5,96.0
139.0,557,54.52,7873.0,8.82,10.12,355.88,p07,63.53,2020-03-14,26,177,male,180,67,No,7.73,95.0
163.0,906,70.48,11639.0,13.33,11.36,316.84,p07,53.28,2020-03-21,26,177,male,180,67,No,7.93,95.0
140.0,833,83.33,10071.0,11.31,8.16,441.3,p07,48.74,2020-03-24,26,177,male,180,67,No,8.08,97.0
146.0,625,56.18,8893.0,10.03,10.72,335.87,p07,50.53,2020-03-26,26,177,male,180,67,No,6.9,92.0
155.0,849,72.65,9983.0,10.91,9.3,387.27,p07,45.81,2020-03-23,26,177,male,180,67,No,8.38,96.0
114.0,1725,546.28,13984.0,14.95,1.64,2193.08,p07,56.36,2020-01-04,26,177,male,180,67,No,7.55,89.0
142.0,797,60.0,9026.0,10.93,11.19,321.74,p08,54.09,2020-03-18,27,186,male,200,86,Yes,6.93,94.0
130.0,1127,101.4,13435.0,14.45,9.74,369.78,p08,55.33,2020-03-17,27,186,male,200,86,No,7.08,96.0
136.0,929,74.12,10472.0,11.67,9.84,366.0,p08,49.78,2020-03-15,27,186,male,200,86,No,8.7,97.0
148.0,615,43.22,6460.0,7.83,11.05,325.78,p08,53.81,2020-03-12,27,186,male,200,86,No,7.55,93.0
128.0,1176,103.97,14529.0,16.33,10.27,350.48,p08,55.11,2020-03-19,27,186,male,200,86,No,7.82,95.0
148.0,771,56.55,8316.0,10.08,11.19,321.71,p08,53.6,2020-03-21,27,186,male,200,86,No,8.0,94.0
146.0,1147,80.32,12640.0,15.04,11.23,320.43,p08,54.96,2020-03-22,27,186,male,200,86,No,8.52,95.0
143.0,899,65.55,10036.0,12.73,12.02,299.38,p08,56.3,2020-03-26,27,186,male,200,86,No,7.17,96.0
148.0,1619,109.58,17606.0,20.19,11.06,325.56,p08,64.98,2020-03-28,27,186,male,200,86,No,9.12,96.0
146.0,1669,128.7,18316.0,21.2,10.78,334.1,p08,55.34,2020-03-30,27,186,male,200,86,No,6.53,95.0
150.0,684,46.43,7228.0,7.97,10.29,349.99,p08,52.2,2020-01-02,27,186,male,200,86,No,6.45,98.0
110.0,138,13.85,1737.0,1.44,6.26,575.15,p08,46.2,2019-12-08,27,186,male,200,86,No,8.37,93.0
137.0,175,13.08,1945.0,1.79,8.28,434.95,p08,48.71,2019-12-04,27,186,male,200,86,No,6.67,95.0
138.0,170,12.48,1885.0,1.81,8.73,412.37,p08,49.9,2019-12-02,27,186,male,200,86,No,6.85,94.0
148.0,610,41.57,6535.0,7.13,10.3,349.56,p08,50.35,2020-01-01,27,186,male,200,86,Yes,5.4,91.0
134.0,750,56.15,8835.0,10.93,11.58,310.83,p08,57.08,2019-12-30,27,186,male,200,86,Yes,8.73,96.0
156.0,788,51.45,8014.0,9.96,11.51,312.79,p08,53.3,2019-12-27,27,186,male,200,86,Yes,8.72,95.0
142.0,612,44.3,6936.0,6.9,9.35,385.06,p08,45.82,2019-12-22,27,186,male,200,86,Yes,7.33,90.0
138.0,870,74.48,10278.0,10.99,10.02,359.37,p08,53.28,2019-12-21,27,186,male,200,86,No,7.22,96.0
180.0,1647,95.32,14715.0,16.17,10.77,334.28,p08,46.03,2020-01-04,27,186,male,200,86,No,7.1,92.0
107.0,122,15.18,1606.0,1.39,6.25,576.46,p08,49.91,2019-12-01,27,186,male,200,86,No,7.48,93.0
130.0,112,10.9,1527.0,1.46,8.85,406.87,p08,50.49,2019-11-20,27,186,male,200,86,No,7.05,90.0
157.0,780,50.53,7756.0,5.79,6.88,523.3,p08,54.09,2019-11-18,27,186,male,200,86,No,7.18,92.0
133.0,1340,104.98,15795.0,11.83,6.82,527.89,p08,55.34,2019-11-17,27,186,male,200,86,No,8.18,90.0
147.0,173,12.52,1843.0,1.78,8.71,413.19,p08,47.66,2019-11-21,27,186,male,200,86,No,7.28,91.0
153.0,749,65.05,6922.0,4.15,4.94,728.46,p08,46.39,2019-11-12,27,186,male,200,86,No,6.82,91.0
131.0,125,15.92,1548.0,1.75,10.05,358.29,p08,54.85,2019-11-30,27,186,male,200,86,Yes,8.32,94.0
115.0,65,7.83,811.0,0.7,5.59,644.01,p08,46.99,2019-11-27,27,186,male,200,86,No,7.48,93.0
132.0,151,12.4,1839.0,1.88,9.29,387.67,p08,51.07,2019-11-23,27,186,male,200,86,No,9.45,94.0
136.0,159,12.05,1851.0,1.82,9.1,395.51,p08,51.81,2020-01-05,27,186,male,200,86,No,7.17,96.0
142.0,178,12.75,1946.0,1.82,8.63,417.23,p08,49.67,2020-01-06,27,186,male,200,86,No,6.65,91.0
134.0,164,15.2,1978.0,1.94,8.11,444.09,p08,51.5,2020-02-23,27,186,male,200,86,No,8.7,98.0
120.0,170,18.35,1993.0,1.87,6.77,531.44,p08,50.9,2020-02-21,27,186,male,200,86,No,5.97,96.0
127.0,106,12.6,1263.0,1.15,6.78,531.18,p08,51.5,2020-02-18,27,186,male,200,86,No,7.57,93.0
143.0,708,52.8,8098.0,9.75,11.08,325.02,p08,54.52,2020-02-15,27,186,male,200,86,No,8.12,98.0
143.0,584,42.17,6597.0,8.11,11.39,315.96,p08,55.07,2020-02-13,27,186,male,200,86,No,6.93,96.0
149.0,95,8.42,1179.0,1.35,10.49,343.21,p08,52.56,2020-02-12,27,186,male,200,86,No,7.18,93.0
105.0,139,21.78,1821.0,1.5,5.86,614.18,p08,46.21,2020-03-06,27,186,male,200,86,No,7.18,96.0
119.0,142,14.38,1772.0,1.52,6.56,548.67,p08,49.42,2020-03-05,27,186,male,200,86,No,7.47,95.0
141.0,134,9.6,1470.0,1.73,11.08,324.91,p08,52.96,2020-03-03,27,186,male,200,86,No,6.67,90.0
124.0,993,92.63,9794.0,10.86,7.43,484.81,p08,51.11,2020-02-28,27,186,male,200,86,No,7.48,95.0
139.0,129,10.05,1541.0,1.69,10.1,356.34,p08,51.6,2020-02-11,27,186,male,200,86,No,7.68,90.0
146.0,151,10.77,1604.0,1.78,10.08,357.24,p08,51.52,2020-02-01,27,186,male,200,86,No,8.25,96.0
139.0,776,61.15,8796.0,10.22,10.36,347.61,p08,53.24,2020-01-31,27,186,male,200,86,No,7.78,93.0
144.0,177,12.6,1776.0,1.75,8.34,431.56,p08,50.35,2020-01-23,27,186,male,200,86,No,7.18,97.0
139.0,183,12.55,1855.0,1.8,8.55,420.98,p08,48.18,2020-01-21,27,186,male,200,86,No,7.45,92.0
144.0,771,53.92,8444.0,8.85,9.86,365.24,p08,51.38,2020-01-10,27,186,male,200,86,No,7.77,94.0
140.0,849,64.53,9501.0,11.15,10.61,339.25,p08,53.89,2020-01-07,27,186,male,200,86,No,6.5,95.0
139.0,227,23.62,2208.0,1.96,7.03,511.92,p08,48.46,2020-02-02,27,186,male,200,86,Yes,9.42,95.0
126.0,126,10.98,1451.0,1.33,7.62,472.24,p08,50.35,2020-02-09,27,186,male,200,86,No,7.8,96.0
116.0,143,14.5,1746.0,1.41,5.76,625.5,p08,51.6,2020-02-08,27,186,male,200,86,No,8.92,94.0
142.0,767,58.13,8707.0,10.09,10.65,337.97,p08,54.62,2020-02-25,27,186,male,200,86,No,7.43,95.0
131.0,1005,87.67,8988.0,9.64,6.9,521.37,p08,44.07,2020-02-07,27,186,male,200,86,No,7.7,92.0
137.0,178,14.92,1940.0,1.85,8.42,427.68,p08,48.39,2020-02-04,27,186,male,200,86,No,6.92,95.0
138.0,169,13.35,1919.0,1.83,8.5,423.76,p08,49.23,2020-02-06,27,186,male,200,86,No,7.12,98.0
144.0,540,39.62,5528.0,5.6,8.78,410.12,p09,46.03,2019-12-03,26,180,male,183,93,No,5.3,95.0
166.0,565,43.23,5115.0,3.91,6.62,543.76,p09,37.2,2020-01-07,26,180,male,183,93,No,5.77,93.0
148.0,206,127.27,3308.0,3.14,8.54,421.77,p10,64.98,2020-02-12,38,179,female,197,80,No,8.0,90.0
134.0,279,33.0,4549.0,3.8,6.92,520.23,p10,40.03,2020-02-20,38,179,female,197,80,No,8.22,91.0
168.0,307,26.77,4375.0,4.36,9.79,367.66,p10,48.72,2019-11-10,38,179,female,197,80,No,7.77,88.0
172.0,446,33.62,5109.0,6.22,11.32,318.0,p12,48.39,2019-11-25,27,178,male,180,68,No,7.0,95.0
170.0,344,25.8,3841.0,4.49,10.45,344.41,p12,48.51,2019-12-06,27,178,male,180,68,No,7.0,95.0
171.0,471,34.78,5254.0,6.26,10.82,332.83,p12,48.74,2019-11-18,27,178,male,180,68,No,7.0,95.0
169.0,267,19.93,3048.0,3.71,11.21,321.27,p12,45.49,2019-11-27,27,178,male,180,68,No,7.0,95.0
150.0,494,38.25,5561.0,6.2,10.69,336.85,p13,38.78,2020-02-18,31,183,male,186,85,No,7.0,94.0
165.0,400,25.52,4080.0,4.56,10.76,334.73,p13,48.51,2020-01-07,31,183,male,186,85,No,6.85,93.0
146.0,306,21.9,3223.0,3.4,9.21,391.03,p13,50.72,2020-01-02,31,183,male,186,85,No,6.87,95.0
154.0,287,31.27,4739.0,4.16,8.25,436.49,p13,48.71,2019-11-11,31,183,male,186,85,No,7.0,94.0
146.0,276,34.5,4313.0,4.62,11.2,321.35,p14,51.6,2020-03-25,45,181,male,190,72,No,9.17,96.0
143.0,312,35.37,4394.0,4.7,10.98,328.01,p14,49.91,2020-03-24,45,181,male,190,72,No,7.18,94.0
151.0,311,35.73,4438.0,3.82,8.89,405.0,p14,47.38,2020-03-13,45,181,male,190,72,No,7.0,93.0
