avgHR,calories,duration,steps,speed,pace,vo2Max,Age,Height,Gender,MaxHR,weight,alcohol_consumed,sleep,sleep_quality
125.0,1740,165.42,15465.0,6.18,582.24,46.97,54,180,1,160,80,0,7.12,96.0
131.0,597,54.48,5164.0,6.13,587.54,49.23,54,180,1,160,80,0,7.63,98.0
126.0,1206,117.6,9934.0,5.7,631.25,64.98,54,180,1,160,80,0,7.3,96.0
139.0,997,114.32,10347.0,5.04,714.68,40.49,54,180,1,160,80,0,7.68,95.0
90.0,1228,164.87,16057.0,4.1,878.18,47.73,54,180,1,160,80,0,8.98,97.0
142.0,917,100.18,9965.0,4.92,731.81,38.96,54,180,1,160,80,0,8.92,96.0
117.0,899,92.7,8572.0,6.14,586.58,49.78,54,180,1,160,80,0,8.78,96.0
88.0,1179,184.57,16254.0,4.07,884.34,41.83,54,180,1,160,80,0,9.25,95.0
115.0,1534,159.7,14339.0,5.11,705.08,38.77,54,180,1,160,80,0,8.05,97.0
122.0,1247,119.92,10903.0,5.44,661.54,50.72,54,180,1,160,80,0,6.77,96.0
112.0,1503,173.22,12756.0,4.49,802.55,64.98,54,180,1,160,80,0,7.03,97.0
99.0,1272,167.23,11722.0,3.87,931.35,64.64,54,180,1,160,80,0,7.22,98.0
108.0,1128,121.75,10047.0,5.34,674.34,53.65,54,180,1,160,80,0,0.98,91.0
120.0,1863,192.87,18312.0,4.1,877.06,46.21,54,180,1,160,80,0,7.8,95.0
83.0,1615,346.23,11883.0,1.54,2341.92,49.9,54,180,1,160,80,0,7.28,97.0
123.0,1197,116.97,10666.0,5.83,617.5,53.24,54,180,1,160,80,0,7.92,97.0
115.0,579,69.7,5984.0,6.55,549.76,52.7,54,180,1,160,80,0,8.08,97.0
124.0,815,81.73,7659.0,6.3,571.69,47.63,54,180,1,160,80,0,8.37,95.0
128.0,699,75.2,6340.0,6.06,594.35,46.99,54,180,1,160,80,0,7.28,95.0
100.0,585,73.33,6277.0,5.59,643.5,49.49,54,180,1,160,80,0,5.87,98.0
112.0,604,70.37,6307.0,5.82,618.84,43.87,54,180,1,160,80,0,8.6,97.0
114.0,485,59.82,4987.0,6.37,564.73,48.71,54,180,1,160,80,0,7.0,97.0
116.0,319,35.6,3108.0,6.47,556.26,50.52,54,180,1,160,80,0,6.87,96.0
99.0,737,114.0,10290.0,4.76,755.54,45.82,54,180,1,160,80,0,8.07,96.0
109.0,693,82.07,7072.0,5.34,673.6,48.18,54,180,1,160,80,0,9.03,95.0
116.0,1523,162.15,13835.0,5.67,635.25,47.46,54,180,1,160,80,0,8.12,95.0
110.0,631,74.12,5633.0,4.55,790.75,49.23,54,180,1,160,80,0,8.82,96.0
121.0,1381,133.93,11722.0,5.48,657.27,38.77,54,180,1,160,80,0,7.15,94.0
122.0,1519,147.75,13268.0,5.54,649.83,51.07,54,180,1,160,80,0,7.1,98.0
128.0,876,79.57,7434.0,6.02,598.22,50.02,54,180,1,160,80,0,6.67,95.0
88.0,1010,150.8,13139.0,3.65,986.6,43.87,54,180,1,160,80,0,9.72,91.0
127.0,766,71.15,5989.0,5.47,658.71,44.46,54,180,1,160,80,0,8.22,94.0
115.0,1185,128.88,8918.0,4.05,888.82,54.09,54,180,1,160,80,0,7.58,96.0
134.0,1478,131.82,9587.0,4.75,757.6,54.85,54,180,1,160,80,0,10.0,96.0
113.0,504,57.28,4137.0,4.89,736.83,46.99,54,180,1,160,80,0,9.2,99.0
118.0,1771,180.08,16399.0,5.94,605.8,45.72,54,180,1,160,80,0,8.38,95.0
129.0,1367,123.73,11346.0,5.86,614.72,42.32,54,180,1,160,80,0,7.53,97.0
120.0,1646,161.77,13955.0,5.32,677.01,49.91,54,180,1,160,80,0,8.98,96.0
72.0,2340,865.02,16693.0,0.61,5860.81,44.24,54,180,1,160,80,0,7.57,97.0
102.0,723,106.67,10235.0,5.07,710.53,45.5,54,180,1,160,80,0,6.68,94.0
121.0,922,85.33,11107.0,5.47,658.14,44.0,54,180,1,160,80,0,8.25,93.0
