avgHR,calories,duration,steps,startTime,distance,speed,pace,user_id,vo2Max,date,Age,Height,Gender,MaxHR
130.0,223,23.083333333333332,3641.0,2020-03-18 17:40:04,4.059617,10.571271149674622,340.5456116893574,p07,64.64,2020-03-18,26,177,male,180
162.0,527,47.06666666666667,7065.0,2020-03-18 18:03:19,8.078796,11.411915227629514,315.4597565958079,p07,47.73,2020-03-18,26,177,male,180
171.0,551,41.35,6715.0,2020-03-20 12:21:21,7.609726,11.050838241226302,325.76714285526555,p07,48.51,2020-03-20,26,177,male,180
139.0,557,54.516666666666666,7873.0,2020-03-14 09:44:56,8.820289,10.115655941382606,355.8839902089387,p07,63.53,2020-03-14,26,177,male,180
163.0,906,70.48333333333333,11639.0,2020-03-21 10:08:42,13.332789,11.36211124260355,316.84252364132675,p07,53.28,2020-03-21,26,177,male,180
140.0,833,83.33333333333333,10071.0,2020-03-24 15:52:04,11.307812,8.157682228010419,441.30181825898427,p07,43.44,2020-03-24,26,177,male,180
84.0,521,151.86666666666667,3424.0,2020-03-24 17:16:06,2.238421,0.8810848797628197,4085.8719547758988,p07,51.52,2020-03-24,26,177,male,180
146.0,625,56.18333333333333,8893.0,2020-03-26 15:51:47,10.029375,10.718414959928761,335.87055674358095,p07,48.74,2020-03-26,26,177,male,180
155.0,849,72.65,9983.0,2020-03-23 18:00:44,10.90621,9.295905347846663,387.2672822377561,p07,45.18,2020-03-23,26,177,male,180
162.0,819,67.06666666666666,10234.0,2020-03-17 17:01:49,11.65896,10.789286044718581,333.6643393343178,p07,53.24,2020-03-17,26,177,male,180
114.0,1725,546.2833333333333,13984.0,2020-01-04 13:53:54,14.94562,1.6415239954846388,2193.0839938389977,p07,56.36,2020-01-04,26,177,male,180
142.0,797,60.0,9026.0,2020-03-18 19:20:28,10.925554,11.189099569583933,321.74170741907756,p08,54.09,2020-03-18,27,186,male,200
130.0,1127,101.4,13435.0,2020-03-17 18:35:55,14.452414,9.735475236294896,369.78164009691216,p08,55.33,2020-03-17,27,186,male,200
136.0,929,74.11666666666666,10472.0,2020-03-15 13:40:47,11.673203,9.836017988165679,366.0017706689213,p08,49.78,2020-03-15,27,186,male,200
148.0,615,43.21666666666667,6460.0,2020-03-12 15:26:10,7.826914,11.050293164757013,325.78321193156876,p08,53.81,2020-03-12,27,186,male,200
106.0,46,5.216666666666667,604.0,2020-03-12 10:18:11,0.517046,5.789315960912053,621.835122544055,p08,46.85,2020-03-12,27,186,male,200
128.0,1176,103.96666666666667,14529.0,2020-03-19 17:18:21,16.334953,10.271517204870301,350.48376283622815,p08,55.11,2020-03-19,27,186,male,200
148.0,771,56.55,8316.0,2020-03-21 19:26:45,10.079718,11.190112149532709,321.7125933943685,p08,53.6,2020-03-21,27,186,male,200
146.0,1147,80.31666666666666,12640.0,2020-03-22 11:15:06,15.036976,11.234821906354517,320.43231570620696,p08,54.96,2020-03-22,27,186,male,200
143.0,899,65.55,10036.0,2020-03-26 17:33:50,12.729453,12.024670690107582,299.3844981519233,p08,56.3,2020-03-26,27,186,male,200
148.0,1619,109.58333333333333,17606.0,2020-03-28 13:01:53,20.187117,11.057964399817434,325.55720653789,p08,46.67,2020-03-28,27,186,male,200
146.0,1669,128.7,18316.0,2020-03-30 17:10:05,21.202773,10.775115628970775,334.1031432016166,p08,55.34,2020-03-30,27,186,male,200
150.0,684,46.43333333333333,7228.0,2020-01-02 17:49:03,7.968718,10.2858774333093,349.99444853794677,p08,52.2,2020-01-02,27,186,male,200
110.0,138,13.85,1737.0,2019-12-08 21:04:23,1.436039,6.259287272727273,575.14535491697,p08,46.2,2019-12-08,27,186,male,200
153.0,1928,129.2,19904.0,2019-12-08 10:56:52,23.158171,10.852261564670423,331.7280899052243,p08,50.35,2019-12-08,27,186,male,200
137.0,175,13.083333333333334,1945.0,2019-12-04 18:31:36,1.787078,8.276849420849421,434.9481085075179,p08,48.71,2019-12-04,27,186,male,200
138.0,170,12.483333333333333,1885.0,2019-12-02 18:40:00,1.809687,8.730024096385543,412.3699958045355,p08,49.9,2019-12-02,27,186,male,200
127.0,145,11.75,1801.0,2019-12-04 20:27:17,1.8695,9.579840682788051,375.78913044640325,p08,54.72,2019-12-04,27,186,male,200
148.0,610,41.56666666666667,6535.0,2020-01-01 19:08:53,7.127296,10.29877367576244,349.55618147744997,p08,48.71,2020-01-01,27,186,male,200
134.0,750,56.15,8835.0,2019-12-30 15:12:59,10.929437,11.581893048128341,310.8300158739393,p08,57.08,2019-12-30,27,186,male,200
156.0,788,51.45,8014.0,2019-12-27 15:53:16,9.960937,11.509370538611291,312.78860889245226,p08,53.3,2019-12-27,27,186,male,200
142.0,612,44.3,6936.0,2019-12-22 20:04:27,6.897617,9.349183734939759,385.060354151142,p08,50.35,2019-12-22,27,186,male,200
138.0,870,74.48333333333333,10278.0,2019-12-21 07:40:00,10.98814,10.017501277465508,359.3710547457822,p08,53.28,2019-12-21,27,186,male,200
180.0,1647,95.31666666666666,14715.0,2020-01-04 13:53:53,16.172132,10.769447280799112,334.27899372500326,p08,64.64,2020-01-04,27,186,male,200
107.0,122,15.183333333333334,1606.0,2019-12-01 12:03:19,1.393578,6.2450337078651685,576.4580574586907,p08,49.91,2019-12-01,27,186,male,200
130.0,112,10.9,1527.0,2019-11-20 19:40:17,1.459539,8.847986509274874,406.8722297695992,p08,50.49,2019-11-20,27,186,male,200
