weight,alcohol_consumed,user_id,date
94,No,p06,2020-03-02
94,No,p06,2020-03-03
94,No,p06,2020-02-27
94,No,p06,2020-01-06
94,No,p06,2020-01-13
94,Yes,p06,2020-01-04
94,No,p06,2019-12-06
94,No,p06,2019-12-05
94,No,p06,2019-12-04
94,Yes,p06,2019-12-03
94,Yes,p06,2019-12-07
94,No,p06,2019-12-01
94,Yes,p06,2019-11-29
94,Yes,p06,2019-11-26
94,Yes,p06,2019-11-24
94,No,p06,2019-11-23
94,No,p06,2019-11-30
94,Yes,p06,2019-12-08
94,No,p06,2019-12-02
94,No,p06,2019-12-09
94,Yes,p06,2020-01-03
94,Yes,p06,2020-01-01
94,No,p06,2019-12-30
94,Yes,p06,2019-12-29
94,No,p06,2019-12-28
94,Yes,p06,2019-12-26
94,Yes,p06,2019-12-25
94,Yes,p06,2019-12-24
94,Yes,p06,2019-12-22
94,Yes,p06,2019-12-21
94,No,p06,2020-01-02
94,No,p06,2019-12-19
94,Yes,p06,2019-12-20
94,Yes,p06,2019-12-10
94,Yes,p06,2019-12-12
94,No,p06,2019-12-11
94,Yes,p06,2019-12-15
94,Yes,p06,2020-01-05
94,No,p06,2019-12-16
94,No,p06,2019-12-17
94,Yes,p06,2019-12-13
94,No,p06,2019-12-18
67,No,p07,2019-11-13
67,No,p07,2019-11-14
67,No,p07,2020-03-18
67,No,p07,2020-03-17
67,No,p07,2020-03-14
67,No,p07,2020-03-15
67,Yes,p07,2020-03-13
67,No,p07,2020-03-12
67,No,p07,2019-11-12
67,No,p07,2020-03-16
67,No,p07,2019-11-11
67,No,p07,2020-03-26
67,No,p07,2020-03-30
67,No,p07,2020-03-29
67,No,p07,2020-03-28
67,No,p07,2020-03-24
67,No,p07,2020-03-23
67,No,p07,2020-03-22
67,No,p07,2020-03-21
67,No,p07,2020-03-20
67,No,p07,2020-03-19
67,No,p07,2020-02-28
67,No,p07,2019-11-09
67,No,p07,2020-02-25
67,Yes,p07,2020-02-27
67,No,p07,2020-02-23
67,No,p07,2019-12-11
67,No,p07,2019-12-12
67,No,p07,2019-12-13
