user_id,date,sleep,sleep_quality
p06,2019-12-08,6.15,99
p08,2019-12-08,8.37,93
p09,2019-12-08,8.02,87
p07,2019-12-08,1.08,93
p10,2019-12-08,7.57,91
p11,2019-12-08,8.22,94
p14,2019-12-08,6.27,93
p02,2019-12-08,5.85,94
p04,2019-12-08,6.78,89
p01,2019-12-08,6.7,97
p15,2019-12-08,8.6,97
p05,2019-12-08,5.18,100
p16,2019-12-08,6.65,87
p16,2019-12-09,2.78,89
p07,2019-12-09,8.82,96
p14,2019-12-09,8.1,93
p01,2019-12-09,5.53,94
p05,2019-12-09,10.28,94
p09,2019-12-09,7.07,88
p10,2019-12-09,6.03,92
p06,2019-12-09,5.28,99
p02,2019-12-09,1.6,100
p13,2019-12-09,0.9,89
p15,2019-12-09,6.27,94
p04,2019-12-09,8.45,92
p08,2019-12-09,7.07,91
p11,2019-12-09,6.82,95
p11,2019-12-10,7.05,97
p15,2019-12-10,7.95,97
p02,2019-12-10,5.28,94
p07,2019-12-10,6.62,97
p14,2019-12-10,6.0,91
p06,2019-12-10,5.97,97
p13,2019-12-10,5.75,97
p10,2019-12-10,7.82,90
p01,2019-12-10,5.6,99
p09,2019-12-10,10.6,96
p04,2019-12-10,8.07,91
p16,2019-12-10,8.05,94
p08,2019-12-10,5.78,93
p15,2019-12-11,7.0,97
p10,2019-12-11,7.18,92
p06,2019-12-11,5.35,97
p02,2019-12-11,5.98,96
p11,2019-12-11,6.8,98
p08,2019-12-11,8.6,92
p05,2019-12-11,1.27,96
p13,2019-12-11,5.72,96
p01,2019-12-11,6.93,94
p16,2019-12-11,7.77,94
p07,2019-12-11,7.77,94
p04,2019-12-11,7.18,92
p09,2019-12-11,6.8,90
p14,2019-12-11,6.8,87
p01,2019-12-12,3.67,96
p13,2019-12-12,6.95,96
p07,2019-12-12,7.12,97
p09,2019-12-12,8.87,94
p16,2019-12-12,7.97,90
p11,2019-12-12,7.83,97
p15,2019-12-12,7.2,95
p02,2019-12-12,5.92,91
p08,2019-12-12,7.12,94
p06,2019-12-12,6.03,98
p10,2019-12-12,7.53,93
p05,2019-12-12,5.88,94
p14,2019-12-12,9.28,91
p13,2019-12-13,6.88,92
p14,2019-12-13,6.88,95
p07,2019-12-13,7.13,97
p05,2019-12-13,7.55,97
p08,2019-12-13,6.83,96
p10,2019-12-13,8.05,86
p06,2019-12-13,5.87,99
p09,2019-12-13,5.88,90
p11,2019-12-13,5.92,95
p01,2019-12-13,5.62,96
p15,2019-12-13,6.57,95
p16,2019-12-13,6.68,91
p02,2019-12-13,6.15,99
p04,2019-12-13,6.4,91
p16,2019-12-14,8.78,90
p10,2019-12-14,8.28,87
p14,2019-12-14,3.33,95
p13,2019-12-14,4.7,92
p02,2019-12-14,6.13,93
p06,2019-12-14,6.08,98
p04,2019-12-14,8.95,91
p15,2019-12-14,7.57,97
p07,2019-12-14,8.03,98
p05,2019-12-14,6.5,85
p11,2019-12-14,4.33,97
p01,2019-12-14,6.43,97
p09,2019-12-14,5.32,90
p16,2019-12-15,7.67,87
p10,2019-12-15,7.98,92
p13,2019-12-15,5.67,90
p02,2019-12-15,7.98,98
p06,2019-12-15,1.67,91
p01,2019-12-15,6.15,97
p04,2019-12-15,8.1,88
p09,2019-12-15,8.45,96
p05,2019-12-15,5.32,93
p11,2019-12-15,6.47,96
p15,2019-12-15,6.68,94
p07,2019-12-15,7.32,97
p14,2019-12-16,3.85,95
p15,2019-12-16,8.25,96
p10,2019-12-16,10.52,93
p11,2019-12-16,6.45,99
p09,2019-12-16,9.28,91
p01,2019-12-16,6.12,99
p07,2019-12-16,7.12,96
p06,2019-12-16,8.02,96
p02,2019-12-16,6.47,98
p05,2019-12-16,6.95,95
p04,2019-12-16,1.02,95
p06,2019-12-17,5.68,97
p10,2019-12-17,7.75,86
p11,2019-12-17,6.52,90
p05,2019-12-17,6.37,94
p14,2019-12-17,5.63,85
p02,2019-12-17,6.52,99
p01,2019-12-17,5.15,97
p07,2019-12-17,7.8,98
p04,2019-12-17,7.88,91
p09,2019-12-17,5.88,92
p16,2019-12-17,11.6,89
p15,2019-12-17,7.75,96
p04,2019-12-18,7.22,89
p13,2019-12-18,10.3,95
p14,2019-12-18,7.5,94
p01,2019-12-18,5.48,94
p06,2019-12-18,5.68,99
p09,2019-12-18,4.38,94
p02,2019-12-18,6.22,90
p10,2019-12-18,7.18,93
p11,2019-12-18,6.32,98
p08,2019-12-18,6.83,96
p07,2019-12-18,7.42,92
p05,2019-12-18,4.67,98
p15,2019-12-18,6.43,96
p16,2019-12-18,6.48,93
p02,2019-12-19,5.82,83
p14,2019-12-19,0.65,61
p16,2019-12-19,5.35,93
p01,2019-12-19,5.17,96
p05,2019-12-19,5.97,96
p07,2019-12-19,6.97,95
p15,2019-12-19,7.07,94
p11,2019-12-19,7.75,97
p08,2019-12-19,6.73,92
p09,2019-12-19,8.15,99
p06,2019-12-19,5.45,99
p04,2019-12-19,1.25,93
p13,2019-12-19,8.2,88
p10,2019-12-19,7.3,91
p02,2019-12-20,6.2,97
p13,2019-12-20,6.03,93
p04,2019-12-20,1.17,97
p01,2019-12-20,4.45,95
p15,2019-12-20,6.58,96
p05,2019-12-20,6.13,100
p09,2019-12-20,5.3,97
p08,2019-12-20,7.17,82
p11,2019-12-20,9.23,95
p06,2019-12-20,5.6,96
p07,2019-12-20,5.45,97
p03,2019-12-20,5.23,92
p14,2019-12-20,8.95,84
p10,2019-12-20,7.73,93
p16,2019-12-20,5.43,92
p08,2019-12-21,7.22,96
p03,2019-12-21,2.9,92
p15,2019-12-21,8.25,93
p10,2019-12-21,7.53,90
p04,2019-12-21,6.67,92
p01,2019-12-21,6.42,99
p11,2019-12-21,6.92,99
p07,2019-12-21,7.43,97
p14,2019-12-21,7.85,89
p06,2019-12-21,7.93,99
p02,2019-12-21,6.62,93
p16,2019-12-21,8.42,92
p09,2019-12-21,5.35,97
p13,2019-12-21,7.78,96
p04,2019-12-22,7.42,96
p16,2019-12-22,8.25,93
p09,2019-12-22,5.83,93
p06,2019-12-22,6.97,97
p03,2019-12-22,3.23,90
p15,2019-12-22,7.2,97
p01,2019-12-22,6.72,97
p13,2019-12-22,8.52,97
p07,2019-12-22,7.3,98
p14,2019-12-22,8.78,94
p02,2019-12-22,7.25,98
p11,2019-12-22,7.98,94
p10,2019-12-22,7.85,89
p08,2019-12-22,7.33,90
p05,2019-12-22,4.73,95
p04,2019-12-23,8.15,89
p15,2019-12-23,8.98,96
p02,2019-12-23,2.83,97
p06,2019-12-23,6.63,90
p07,2019-12-23,7.32,96
p03,2019-12-23,6.33,94
p09,2019-12-23,5.42,100
p08,2019-12-23,8.63,94
p11,2019-12-23,6.52,97
p05,2019-12-23,6.0,99
p14,2019-12-23,8.18,88
p01,2019-12-23,7.17,95
p16,2019-12-23,6.7,94
p13,2019-12-23,8.05,96
p08,2019-12-24,5.98,91
p09,2019-12-24,13.72,96
p07,2019-12-24,7.27,95
p06,2019-12-24,6.62,97
p14,2019-12-24,7.72,87
p01,2019-12-24,6.15,98
p02,2019-12-24,6.95,98
p03,2019-12-24,5.88,92
p15,2019-12-24,9.05,95
p11,2019-12-24,7.05,98
p16,2019-12-24,6.03,91
p10,2019-12-24,8.9,94
p04,2019-12-24,7.0,97
p05,2019-12-24,5.47,97
p14,2019-12-25,8.27,88
p04,2019-12-25,8.22,87
p07,2019-12-25,6.27,96
p16,2019-12-25,8.4,92
p09,2019-12-25,6.27,96
p05,2019-12-25,8.83,96
p08,2019-12-25,8.68,94
p01,2019-12-25,7.05,97
p06,2019-12-25,6.32,97
p03,2019-12-25,5.92,92
p15,2019-12-25,8.38,95
p11,2019-12-25,7.2,99
p02,2019-12-25,1.15,97
p04,2019-12-26,7.8,92
p01,2019-12-26,6.77,96
p16,2019-12-26,7.92,92
p14,2019-12-26,7.62,85
p02,2019-12-26,8.3,85
p09,2019-12-26,10.58,95
p11,2019-12-26,7.32,99
p07,2019-12-26,7.12,96
p05,2019-12-26,6.47,97
p15,2019-12-26,9.2,99
p06,2019-12-26,8.12,95
p11,2019-12-27,8.13,97
p07,2019-12-27,7.87,88
p08,2019-12-27,8.72,95
p16,2019-12-27,5.95,92
p05,2019-12-27,10.47,89
p02,2019-12-27,7.1,85
p04,2019-12-27,6.43,88
p14,2019-12-27,6.9,91
p15,2019-12-27,8.12,95
p13,2019-12-27,7.9,89
p10,2019-12-27,7.67,91
p09,2019-12-27,7.68,88
p06,2019-12-27,5.6,96
p01,2019-12-27,6.95,94
p08,2019-12-28,6.65,94
p02,2019-12-28,6.9,91
p14,2019-12-28,6.95,94
p07,2019-12-28,7.15,96
p15,2019-12-28,8.12,96
p09,2019-12-28,10.1,92
p04,2019-12-28,7.0,93
p05,2019-12-28,7.1,90
p13,2019-12-28,5.38,92
p10,2019-12-28,7.67,85
p03,2019-12-28,4.43,92
p06,2019-12-28,8.15,99
p11,2019-12-28,7.25,97
p16,2019-12-28,7.38,91
p01,2019-12-28,7.32,94
p05,2019-12-29,4.22,93
p08,2019-12-29,8.57,92
p04,2019-12-29,8.7,93
p11,2019-12-29,7.37,100
p03,2019-12-29,8.23,96
p09,2019-12-29,7.92,96
p07,2019-12-29,7.42,95
p01,2019-12-29,6.97,96
p16,2019-12-29,6.52,90
p15,2019-12-29,8.82,96
p10,2019-12-29,7.43,89
p13,2019-12-29,10.17,96
p02,2019-12-29,6.78,98
p06,2019-12-29,7.22,98
p09,2019-12-30,11.38,90
p11,2019-12-30,7.5,97
p05,2019-12-30,6.72,94
p08,2019-12-30,8.73,96
p07,2019-12-30,8.03,95
p02,2019-12-30,6.88,90
p15,2019-12-30,7.15,94
p10,2019-12-30,9.35,88
p04,2019-12-30,7.28,89
p14,2019-12-30,6.33,98
p01,2019-12-30,5.63,98
p03,2019-12-30,5.45,89
p06,2019-12-30,5.53,95
p16,2019-12-30,4.85,91
p03,2019-12-31,6.15,88
p10,2019-12-31,9.82,92
p02,2019-12-31,6.45,98
p14,2019-12-31,6.42,99
p16,2019-12-31,7.93,98
p08,2019-12-31,8.25,96
p01,2019-12-31,6.07,97
p06,2019-12-31,5.03,99
p05,2019-12-31,5.68,97
p15,2019-12-31,7.53,97
p04,2019-12-31,9.2,90
p07,2019-12-31,7.0,96
p11,2019-12-31,8.52,94
p10,2020-01-01,10.7,88
p06,2020-01-01,6.22,99
p08,2020-01-01,5.4,91
p14,2020-01-01,4.95,98
p07,2020-01-01,4.07,93
p03,2020-01-01,7.1,91
p09,2020-01-01,6.33,88
p16,2020-01-01,7.63,87
p15,2020-01-01,7.1,98
p01,2020-01-01,6.0,98
p05,2020-01-01,4.67,91
p04,2020-01-01,2.8,93
p11,2020-01-01,6.47,87
p11,2020-01-02,7.53,98
p06,2020-01-02,5.63,98
p04,2020-01-02,8.12,94
p10,2020-01-02,8.83,93
p03,2020-01-02,7.22,95
p16,2020-01-02,3.88,94
p15,2020-01-02,8.15,95
p01,2020-01-02,8.5,96
p05,2020-01-02,6.8,96
p13,2020-01-02,6.87,95
p07,2020-01-02,8.1,94
p02,2020-01-02,7.08,95
p08,2020-01-02,6.45,98
p14,2020-01-02,5.33,98
p07,2020-01-03,8.23,89
p11,2020-01-03,6.43,94
p15,2020-01-03,6.67,95
p13,2020-01-03,6.52,95
p09,2020-01-03,6.88,89
p05,2020-01-03,6.63,93
p01,2020-01-03,6.13,96
p16,2020-01-03,7.58,93
p04,2020-01-03,8.08,93
p14,2020-01-03,4.58,97
p02,2020-01-03,5.33,99
p06,2020-01-03,6.07,98
p07,2020-01-04,7.55,89
p02,2020-01-04,4.83,99
p11,2020-01-04,2.42,91
p16,2020-01-04,6.72,94
p15,2020-01-04,8.1,98
p03,2020-01-04,7.1,96
p06,2020-01-04,5.65,98
p04,2020-01-04,7.72,91
